0,016
RB6
STEER_HR
SolOn
SagOn
START
(-360.00, 0.00, 120.00) (0.00000, 0.70711, 0.00000, 0.70711)	(-359.50, 0.55, 120.00) (0.00000, 0.70711, 0.00000, 0.70711)	(-358.56, 0.32, 120.71) (0.00000, 0.70711, 0.00000, 0.70711)	(-358.56, 0.32, 119.29) (0.00000, 0.70711, 0.00000, 0.70711)	
(-360.00, 0.00, 120.00) (0.00001, 0.70711, -0.00001, 0.70711)	(-359.50, 0.55, 120.00) (0.00001, 0.70711, -0.00001, 0.70711)	(-358.56, 0.32, 120.71) (0.00001, 0.70711, -0.00001, 0.70711)	(-358.56, 0.32, 119.29) (0.00001, 0.70711, -0.00001, 0.70711)	
(-360.00, 0.00, 120.00) (0.00005, 0.70711, -0.00005, 0.70711)	(-359.50, 0.55, 120.00) (0.00005, 0.70711, -0.00005, 0.70711)	(-358.56, 0.32, 120.71) (0.00005, 0.70711, -0.00005, 0.70711)	(-358.56, 0.32, 119.29) (0.00005, 0.70711, -0.00005, 0.70711)	
(-360.00, 0.00, 120.00) (0.00008, 0.70711, -0.00008, 0.70711)	(-359.50, 0.55, 120.00) (0.00008, 0.70711, -0.00008, 0.70711)	(-358.56, 0.32, 120.71) (0.00008, 0.70711, -0.00008, 0.70711)	(-358.56, 0.32, 119.29) (0.00008, 0.70711, -0.00008, 0.70711)	
(-360.00, 0.00, 120.00) (0.00010, 0.70711, -0.00010, 0.70711)	(-359.50, 0.55, 120.00) (0.00010, 0.70711, -0.00010, 0.70711)	(-358.56, 0.32, 120.71) (0.00010, 0.70711, -0.00010, 0.70711)	(-358.56, 0.32, 119.29) (0.00010, 0.70711, -0.00010, 0.70711)	
(-360.00, 0.00, 120.00) (0.00012, 0.70711, -0.00012, 0.70711)	(-359.50, 0.55, 120.00) (0.00012, 0.70711, -0.00012, 0.70711)	(-358.56, 0.32, 120.71) (0.00012, 0.70711, -0.00012, 0.70711)	(-358.56, 0.32, 119.29) (0.00012, 0.70711, -0.00012, 0.70711)	
(-360.00, 0.00, 120.00) (0.00014, 0.70711, -0.00014, 0.70711)	(-359.50, 0.55, 120.00) (0.00014, 0.70711, -0.00014, 0.70711)	(-358.56, 0.32, 120.71) (0.00014, 0.70711, -0.00014, 0.70711)	(-358.56, 0.32, 119.29) (0.00014, 0.70711, -0.00014, 0.70711)	
(-360.00, 0.00, 120.00) (0.00016, 0.70711, -0.00016, 0.70711)	(-359.50, 0.55, 120.00) (0.00016, 0.70711, -0.00016, 0.70711)	(-358.56, 0.32, 120.71) (0.00016, 0.70711, -0.00016, 0.70711)	(-358.56, 0.32, 119.29) (0.00016, 0.70711, -0.00016, 0.70711)	
(-360.00, 0.00, 120.00) (0.00018, 0.70711, -0.00018, 0.70711)	(-359.50, 0.55, 120.00) (0.00018, 0.70711, -0.00018, 0.70711)	(-358.56, 0.32, 120.71) (0.00018, 0.70711, -0.00018, 0.70711)	(-358.56, 0.32, 119.29) (0.00018, 0.70711, -0.00018, 0.70711)	
(-360.00, 0.00, 120.00) (0.00019, 0.70711, -0.00019, 0.70711)	(-359.50, 0.55, 120.00) (0.00019, 0.70711, -0.00019, 0.70711)	(-358.56, 0.32, 120.71) (0.00019, 0.70711, -0.00019, 0.70711)	(-358.56, 0.32, 119.29) (0.00019, 0.70711, -0.00019, 0.70711)	
