0,1
RB6
STEER_HR
SolOn
SagOn
START
(-360.00, 0.00, 120.00) (0.00008, 0.70711, -0.00008, 0.70711)	(-359.50, 0.55, 120.00) (0.00008, 0.70711, -0.00008, 0.70711)	(-358.56, 0.32, 120.71) (0.00008, 0.70711, -0.00008, 0.70711)	(-358.56, 0.32, 119.29) (0.00008, 0.70711, -0.00008, 0.70711)	0
(-359.99, 0.00, 120.00) (0.00018, 0.70713, -0.00018, 0.70709)	(-359.49, 0.55, 120.00) (0.00018, 0.70713, -0.00018, 0.70709)	(-358.55, 0.32, 120.71) (0.01677, 0.70693, -0.01677, 0.70689)	(-358.55, 0.32, 119.29) (0.00642, 0.70710, -0.00642, 0.70706)	0,008670342
(-359.95, 0.00, 120.00) (0.00020, 0.70719, -0.00020, 0.70702)	(-359.45, 0.55, 120.00) (0.00020, 0.70719, -0.00020, 0.70702)	(-358.51, 0.32, 120.71) (0.11486, 0.69779, -0.11489, 0.69763)	(-358.51, 0.32, 119.29) (0.03697, 0.70622, -0.03698, 0.70606)	0,01415358
(-359.84, 0.00, 120.00) (0.00020, 0.70721, -0.00020, 0.70700)	(-359.34, 0.55, 120.00) (0.00020, 0.70721, -0.00020, 0.70700)	(-358.39, 0.32, 120.71) (0.30613, 0.63748, -0.30622, 0.63729)	(-358.39, 0.32, 119.29) (0.21875, 0.67251, -0.21881, 0.67231)	0,04925841
(-359.62, 0.00, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-359.12, 0.55, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-358.17, 0.32, 120.71) (0.56700, 0.42245, -0.56718, 0.42231)	(-358.18, 0.32, 119.29) (0.50209, 0.49790, -0.50226, 0.49773)	0,1540392
(-359.36, 0.00, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-358.86, 0.55, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-357.92, 0.32, 120.71) (0.70229, 0.08141, -0.70252, 0.08139)	(-357.92, 0.32, 119.29) (0.68391, 0.17924, -0.68413, 0.17918)	0,2365829
(-359.03, 0.00, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-358.53, 0.55, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-357.59, 0.32, 120.71) (0.60001, -0.37405, -0.60021, -0.37393)	(-357.59, 0.32, 119.29) (0.64657, -0.28608, -0.64678, -0.28598)	0,3272814
(-358.55, 0.00, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-358.05, 0.55, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-357.11, 0.32, 120.71) (0.03762, -0.70622, -0.03763, -0.70599)	(-357.11, 0.32, 119.29) (0.13637, -0.69394, -0.13641, -0.69372)	0,4174565
(-358.07, 0.00, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-357.57, 0.55, 120.00) (0.00019, 0.70722, -0.00019, 0.70699)	(-356.63, 0.32, 120.71) (-0.55512, -0.43795, 0.55530, -0.43781)	(-356.63, 0.32, 119.29) (-0.48815, -0.51158, 0.48831, -0.51141)	0,497844
(-357.30, 0.00, 120.00) (0.00020, 0.70722, -0.00020, 0.70699)	(-356.80, 0.55, 120.00) (0.00020, 0.70722, -0.00020, 0.70699)	(-355.85, 0.32, 120.71) (-0.42308, 0.56661, 0.42322, 0.56643)	(-355.85, 0.32, 119.29) (-0.49842, 0.50158, 0.49858, 0.50141)	0,6028683
